Egypt,Apollinis - Apollonos Superiore,Apollonopolis,on the western Nile bank,-502,BC 502,1699,AD 1699,"24.9795361111,32.8732936296;"
Egypt,Vicus Apollonos - Chus,Apollonopolis,on the eastern Nile bank,-332,BC 332,1699,AD 1699,"25.854553,32.710142;"
Egypt,,Apolytas,,640,AD 640,699,AD 699,;
Egypt,,Aponias Berenikes Ousia,in the territory of 00a Philadelpheia (Gharabet el-Gerza) (1760),214,AD 214,214,AD 214,;
Egypt,,Apoph[ ]es,,600,AD 600,799,AD 799,;
Egypt,,Asphodoch( ),in the territory of 00b Theadelpheia (Batn el-Harit) (2349) near 00b Pouareos Ktema (1902),252,AD 252,256,AD 256,;
Egypt,,Appianou Kleros,,200,AD 200,275,AD 275,;
Greece,,Aptara,,-150,BC 150,-30,BC 30,"35.46477025,24.1449764;"
Egypt,,Ar[ ],,144,AD 144,144,AD 144,;
Egypt,,Ar[ ],near 00c Tebtynis (2287),164,AD 164,164,AD 164,;
Egypt,,Araa Topos,,500,AD 500,599,AD 599,;
Egypt,,Arabakios Epaulis,in 00c Talithis (2236),42,AD 42,150,AD 150,;
Saudi Arabia,Arabia,Arabia,in modern Saudi Arabia and Yemen,-999,BC 999,1595,AD 1595,;
Egypt,Arabicus,Arabia [nomos],,-299,BC 299,1595,AD 1595,;
Egypt,,Arabon Amphodon,in 00d Krokodilopolis (Medinet el-Fayum) (327),72,AD 72,499,AD 499,;
ghost name,,Arabon Choma,,0,AD 0,0,AD 0,;
Egypt,,Ptolemais Arabon,near 00a Labyrinthos (1212),-260,BC 260,799,AD 799,;
Greece,Arcadia,Arcadia,,-332,BC 332,450,AD 450,;
Egypt,,Archangelou Gabriel,,600,AD 600,799,AD 799,;
Egypt,,Archegeteios,in L00 Alexandria (100),-13,BC 13,-13,BC 13,;
Egypt,,Archeiou Dioryx,in the territory of 00a Bakchias (Kom el-Atl) (392),66,AD 66,66,AD 66,;
Egypt,,Archelais,"near 00b Apias (240), 00b Argeas, 00b Polydeukeia (1887), 00b Sethrempais (2122), 00b Theadelpheia (Batn el-Harit) (2349)",-247,BC 247,325,AD 325,;
Egypt,,Archelaou Topos,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),250,AD 250,250,AD 250,;
Egypt,,Archistrateios,in L00 Alexandria (100),96,AD 96,240,AD 240,;
Egypt,,Areas tes Heronos Kleros,in the territory of 00a Arsinoe (326),83,AD 83,84,AD 84,;
Egypt,,Areiou Epoikion,near 00b Herakleia (772),-184,BC 184,799,AD 799,;
Egypt,,Areos Kome,,-275,BC 275,799,AD 799,;
Egypt,,Areos Kome,,1,AD 1,799,AD 799,;
Egypt,,Argaitidos Euergetou Dioryx,,-125,BC 125,325,AD 325,;
Egypt,,Argeades,in L00 Alexandria (100),-245,BC 245,-245,BC 245,;
Egypt,,Argeas,near 00b Theadelpheia (Batn el-Harit) (2349),-230,BC 230,325,AD 325,;
Greece,Argolis,Argolis,,301,AD 301,301,AD 301,;
Greece,Argos,Argos,,-386,BC 386,573,AD 573,"37.631561,22.719464;"
ghost name,,Argothiou,,0,AD 0,0,AD 0,;
Egypt,,.[...]ari,,-228,BC 228,-227,BC 227,;
ghost name,,Arideou Epoikion,,0,AD 0,0,AD 0,;
Egypt,,Arist( ) Kleros,in the territory of 00c Tebtynis (2287),167,AD 167,167,AD 167,;
Egypt,,Aristarchou Nesos,near 00c Dikaiou Nesos (557),-250,BC 250,314,AD 314,;
Egypt,,Aristarchou Nomarchia,,-247,BC 247,-230,BC 230,;
Egypt,,Aristippou Prosphora,in 00d Krokodilopolis (Medinet el-Fayum) (327),-229,BC 229,-228,BC 228,;
Egypt,,Aristodemou Kleros,in the territory of 00b Theadelpheia (Batn el-Harit) (2349),160,AD 160,160,AD 160,;
